iter	Passed	Remaining
411	4025	7699
412	4034	7687
413	4044	7678
414	4055	7670
415	4066	7663
416	4076	7655
417	4086	7644
418	4096	7636
419	4105	7623
420	4114	7613
421	4124	7603
422	4133	7592
423	4143	7583
424	4152	7572
425	4162	7562
426	4171	7551
427	4180	7540
428	4189	7528
429	4199	7520
430	4208	7509
431	4219	7501
432	4230	7493
433	4240	7483
434	4249	7473
435	4258	7461
436	4266	7450
437	4275	7438
438	4287	7431
439	4297	7423
440	4306	7412
441	4315	7400
442	4325	7390
443	4333	7379
444	4344	7370
445	4353	7359
446	4364	7352
447	4375	7343
448	4385	7334
449	4393	7322
450	4403	7313
451	4414	7305
452	4424	7296
453	4433	7285
454	4442	7274
455	4453	7265
456	4462	7255
457	4473	7246
458	4482	7235
459	4491	7224
460	4501	7215
461	4511	7206
462	4520	7195
463	4529	7184
464	4539	7175
465	4548	7164
466	4558	7154
467	4568	7145
468	4578	7135
469	4588	7127
470	4598	7118
471	4610	7111
472	4620	7102
473	4632	7095
474	4642	7085
475	4653	7078
476	4663	7069
477	4674	7060
478	4684	7051
479	4695	7043
480	4705	7034
481	4717	7026
482	4729	7020
483	4739	7011
484	4750	7003
485	4760	6993
486	4770	6984
487	4780	6974
488	4789	6963
489	4799	6954
490	4809	6944
491	4818	6933
492	4827	6922
493	4836	6912
494	4845	6901
495	4854	6890
496	4864	6880
497	4874	6871
498	4884	6862
499	4895	6854
500	4907	6847
501	4916	6836
502	4926	6826
503	4936	6816
504	4945	6805
505	4955	6796
506	4964	6785
507	4973	6775
508	4982	6764
509	4992	6753
510	5001	6743
511	5009	6731
512	5019	6722
513	5029	6712
514	5038	6701
515	5048	6692
516	5057	6681
517	5067	6671
518	5074	6659
519	5083	6647
520	5092	6636
521	5101	6626
522	5111	6617
523	5122	6608
524	5131	6597
525	5142	6589
526	5152	6579
527	5161	6568
528	5170	6558
529	5180	6548
530	5190	6539
531	5199	6528
532	5209	6519
533	5219	6509
534	5228	6499
535	5238	6489
536	5246	6477
537	5255	6467
538	5265	6456
539	5275	6447
540	5285	6438
541	5294	6427
542	5303	6417
543	5314	6408
544	5323	6397
545	5334	6389
546	5343	6378
547	5352	6368
548	5361	6357
549	5371	6348
550	5380	6337
551	5389	6326
552	5397	6315
553	5407	6305
554	5417	6296
555	5427	6286
556	5436	6276
557	5446	6266
558	5455	6256
559	5464	6245
560	5474	6235
561	5483	6225
562	5494	6216
563	5503	6205
564	5513	6196
565	5524	6188
566	5533	6177
567	5541	6165
568	5550	6155
569	5559	6144
570	5568	6134
571	5578	6124
572	5586	6113
573	5595	6102
574	5604	6092
575	5614	6082
576	5623	6071
577	5632	6061
578	5640	6050
579	5651	6041
580	5659	6029
581	5668	6019
582	5677	6008
583	5687	5998
584	5696	5988
585	5704	5977
586	5715	5968
587	5723	5957
588	5733	5947
589	5741	5936
590	5750	5925
591	5758	5914
592	5767	5903
593	5775	5892
594	5785	5882
595	5794	5872
596	5805	5863
597	5815	5853
598	5823	5843
599	5832	5832
600	5840	5821
601	5849	5810
602	5857	5799
603	5866	5788
604	5875	5778
605	5884	5768
606	5895	5759
607	5905	5750
608	5916	5741
609	5925	5731
610	5934	5721
611	5944	5711
612	5953	5700
613	5962	5690
614	5971	5680
615	5980	5670
616	5990	5659
617	6000	5651
618	6009	5640
619	6018	5630
620	6027	5619
621	6035	5608
622	6043	5597
623	6053	5587
624	6062	5577
625	6072	5567
626	6081	5557
627	6091	5548
628	6101	5538
629	6110	5528
630	6119	5517
631	6127	5507
632	6137	5497
633	6147	5487
634	6155	5477
635	6165	5467
636	6174	5456
637	6182	5446
638	6192	5436
639	6202	5426
640	6213	5419
641	6222	5408
642	6232	5399
643	6241	5388
644	6251	5378
645	6260	5368
646	6270	5359
647	6279	5348
648	6287	5338
649	6296	5327
650	6306	5318
651	6315	5308
652	6325	5298
653	6335	5289
654	6345	5279
655	6355	5270
656	6364	5260
657	6373	5250
658	6383	5240
659	6392	5230
660	6401	5220
661	6411	5210
662	6420	5200
663	6430	5191
664	6439	5180
665	6449	5171
666	6460	5162
667	6468	5151
668	6477	5141
669	6486	5131
670	6495	5121
671	6505	5111
672	6514	5101
673	6523	5091
674	6533	5081
675	6541	5070
676	6551	5061
